,train_accuracy,test_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,CM,train_f1,test_f1,train_f2,test_f2,runtime,best_params
XGBoost,0.7601553166069295,0.7267303102625299,0.6753246753246753,0.9348314606741573,0.7841658812441094,0.8681135225375626,0.8877719644337707,0.9002580109387018,"[[193 200]
 [ 29 416]]",0.8081242532855436,0.7841658812441094,0.887943709304768,0.8681135225375626,7.001916170120239,"{'clf__learning_rate': 0.001, 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__subsample': 1.0}"
Logistic Regression,0.8067502986857825,0.8066825775656324,0.8082788671023965,0.8337078651685393,0.8207964601769911,0.8284948637784725,0.8746976584612747,0.8929589437583896,"[[305  88]
 [ 74 371]]",0.8184114510244176,0.8207964601769911,0.8191011235955056,0.8284948637784725,3.036829948425293,"{'clf__C': 0.1, 'clf__penalty': 'l1'}"
LightGBM,0.8175029868578255,0.8042959427207638,0.8087912087912088,0.8269662921348314,0.8177777777777778,0.8232662192393736,0.8904079823884268,0.9085565423756046,"[[306  87]
 [ 77 368]]",0.8283225625175611,0.8177777777777778,0.8284622302158273,0.8232662192393736,14.574594020843506,"{'clf__learning_rate': 0.01, 'clf__max_depth': 10, 'clf__n_estimators': 50, 'clf__subsample': 0.8}"
Decision Tree,0.8145161290322581,0.815035799522673,0.8310502283105022,0.8179775280898877,0.8244620611551529,0.8205590622182146,0.8816107727935502,0.8978740159252385,"[[319  74]
 [ 81 364]]",0.8216029876472278,0.8244620611551529,0.8108414606486731,0.8205590622182146,0.38968563079833984,"{'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_split': 2}"
CatBoost,0.8145161290322581,0.815035799522673,0.8310502283105022,0.8179775280898877,0.8244620611551529,0.8205590622182146,0.8757697915773223,0.901058574140111,"[[319  74]
 [ 81 364]]",0.8216029876472278,0.8244620611551529,0.8108414606486731,0.8205590622182146,10.016939401626587,"{'clf__depth': 3, 'clf__iterations': 50, 'clf__learning_rate': 0.01}"
Random Forest,0.8195937873357229,0.8174224343675418,0.8427230046948356,0.8067415730337079,0.8243398392652124,0.8136899365367181,0.8903422248906424,0.9061227210901768,"[[326  67]
 [ 86 359]]",0.822665883734586,0.8243398392652124,0.8012123984902207,0.8136899365367181,3.5595169067382812,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}"
